algorithm,n,time

fourSum_quartic,30,0.14168214797973633

fourSum_quartic,30,0.14107084274291992

fourSum_quartic,30,0.1440274715423584

fourSum_quartic,30,0.13997268676757812

fourSum_quartic,30,0.14103436470031738

fourSum_quartic,42,0.13996481895446777

fourSum_quartic,42,0.14003300666809082

fourSum_quartic,42,0.13896727561950684

fourSum_quartic,42,0.17400121688842773

fourSum_quartic,42,0.1399989128112793

fourSum_quartic,59,0.15999913215637207

fourSum_quartic,59,0.15700078010559082

fourSum_quartic,59,0.15599966049194336

fourSum_quartic,59,0.1730332374572754

fourSum_quartic,59,0.15996813774108887

fourSum_quartic,84,0.17400074005126953

fourSum_quartic,84,0.1399996280670166

fourSum_quartic,84,0.15703606605529785

fourSum_quartic,84,0.14099907875061035

fourSum_quartic,84,0.17599987983703613

fourSum_quartic,118,0.15603947639465332

fourSum_quartic,118,0.15402865409851074

fourSum_quartic,118,0.15799760818481445

fourSum_quartic,118,0.1910090446472168

fourSum_quartic,118,0.15421748161315918

fourSum_quartic,167,0.16103386878967285

fourSum_quartic,167,0.15896916389465332

fourSum_quartic,167,0.15903186798095703

fourSum_quartic,167,0.15796518325805664

fourSum_quartic,167,0.15419459342956543

fourSum_quartic,235,0.19141554832458496

fourSum_quartic,235,0.20799756050109863

fourSum_quartic,235,0.2030014991760254

fourSum_quartic,235,0.20366930961608887

fourSum_quartic,235,0.18824100494384766

fourSum_quartic,332,0.3319993019104004

fourSum_quartic,332,0.3130016326904297

fourSum_quartic,332,0.3280339241027832

fourSum_quartic,332,0.3029928207397461

fourSum_quartic,332,0.3166196346282959

fourSum_quartic,468,0.7780981063842773

fourSum_quartic,468,0.7772648334503174

fourSum_quartic,468,0.789973258972168

fourSum_quartic,468,0.796393871307373

fourSum_quartic,468,0.7910542488098145

fourSum_quartic,660,2.6725971698760986

fourSum_quartic,660,2.6289618015289307

fourSum_quartic,660,2.6640501022338867

fourSum_quartic,660,2.64898943901062

fourSum_quartic,660,2.6329658031463623

fourSum_quartic,931,9.765087366104126

fourSum_quartic,931,9.895822763442993

fourSum_quartic,931,9.681095123291016

fourSum_quartic,931,9.923824787139893

fourSum_quartic,931,9.812978982925415

fourSum_cubic,30,0.15000057220458984

fourSum_cubic,30,0.1380000114440918

fourSum_cubic,30,0.13899946212768555

fourSum_cubic,30,0.12800002098083496

fourSum_cubic,30,0.14100050926208496

fourSum_cubic,42,0.13700127601623535

fourSum_cubic,42,0.12900066375732422

fourSum_cubic,42,0.15599799156188965

fourSum_cubic,42,0.1399993896484375

fourSum_cubic,42,0.14100050926208496

fourSum_cubic,59,0.12900066375732422

fourSum_cubic,59,0.1399996280670166

fourSum_cubic,59,0.1399998664855957

fourSum_cubic,59,0.14000749588012695

fourSum_cubic,59,0.14199209213256836

fourSum_cubic,84,0.140000581741333

fourSum_cubic,84,0.1289997100830078

